 Тилігульський лиман																																
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору								Знаряддя лову, які включені до договору													Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Глось Platichthys flesus	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Сингіль Liza aurata	Лобань Mugil cephalus	Гостроніс Liza saliens	Креветка Caridea	Піленгас Liza haematocheilus	Атерина піщана Atherina boyeri	Ставний невід (крок вічка у котлі 6 мм, дворі 10 та крилах 14 мм)	Ставний невід (крок вічка 20 мм)	Ятір (крок вічка 16 мм)	Закидний невід (волок) (крок вічка у матні 6 мм, приводах 6 мм, крилах – 6 мм)	Закидний невід (волок) (крок вічка в матні 16 мм, приводах 18 мм, крилах – 20 мм)	Закидний невід (волок) (крок вічка в матні 18 мм, приводах 20 мм, крилах – 22 мм)	Закидний невід (волок) (крок вічка в матні 8 мм, приводах 6 мм, крилах – 6 мм)	Закидний невід (волок) (крок вічка в матні 20 мм, приводах 22 мм, крилах – 22 мм)	Сітка (крок вічка від 20 мм до 28 мм)	Сітка (крок вічка від 45 мм до 70 мм)	Сітка (крок вічка від 50 мм до 70 мм)	Кошільний  невід (крок вічка 30 мм)	Кільцевий невід (крок вічка 30 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																												
					Дата	Номер																										
MIN	1	TL1MIN2024					7,47	21,600	0,035	0,355	1,349	0,169	0,169	6,389	0,355	12,779	5	3	20	3	3	3	3	3	30	10	10	1	1		5	
	1	TL2MIN2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "АФОЛІНА", ЄДРПОУ: 31772172	10.06.2024			7,47	21,600	0,035	0,355	1,349	0,169	0,169	6,389	0,355	12,779	5	3	20	3	3	3	3	3	30	10	10	1	1		5	
	1	TL3MIN2024					7,47	21,600	0,035	0,355	1,349	0,169	0,169	6,389	0,355	12,779	5	3	20	3	3	3	3	3	30	10	10	1	1		5	
	1	TL4MIN2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "МЕРЛАНГ", ЄДРПОУ: 45119364 	24.05.2024	18.10.2024	TL4MIN2024-2	7,47	21,600	0,035	0,355	1,349	0,169	0,169	6,389	0,355	12,779	5	3	20	3	3	3	3	3	30	10	10	1	1		5	ЯМК 0324
	1	TL5MIN2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "Нейзац Аква", ЄДРПОУ: 45204915	23.02.2024	4/22/2024	ДД-41/3	7,47	21,600	0,035	0,355	1,349	0,169	0,169	6,389	0,355	12,779	5	3	20	3	3	3	3	3	30	10	10	1	1		5	ЯЧК 9012
Всього	5						37,37	108,000	0,175	1,775	6,745	0,845	0,845	31,945	1,775	63,895	25	15	100	15	15	15	15	15	150	50	50	5	5		25	
MID	1	TL1MID2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "КРИСТАЛ ПІВДЕНЬ", ЄДРПОУ: 37946314	28.02.2024	11.11.2024	TL1MID2024-3	9,96	28,800	0,047	0,473	1,799	0,225	0,225	8,519	0,473	17,039	7	5	30	5	5	5	5	5	40	15	10	2	2		7	ЯОД 2512 ЯОД 0459
